Replicate	Test	Control	Conc
R1	12819480	814577	0
R1	14326359	1185355	1
R1	13504823	1313891	20
R1	13770773	1142355	40
R1	13454238	1073477	60
R2	13875238	1391477	80
R2	13587187	787456	100
R2	13449238	1176355	
R2	13729652	1132477	
R2	12543066	972820	
R3	15777702	2357134	
R3	15684945	2172305	
R3	15922530	2273255	
R3	16134167	2437548	
R3	15916066	2485305	
R4	18939288	7613154	
R4	19005803	6334619	
R4	18720267	6102740	
R4	18869288	6302912	
R4	19328459	7455497	
R5	19944974	10378983	
R5	18514075	11656861	
R5	18435146	11673447	
R5	18430024	11652983	
R5	17556853	11262326	
R6	16017539	11280811	
R6	14704246	12080397	
R6	16332731	12576518	
R6	15552024	12087569	
R6	13211660	11650861	
R7	12343196	11994933	
R7	12865711	11579326	
R7	13871418	12373933	
R7	12513418	11912154	
R7	11460296	11752154	
